complaint_text,complaint_type,location,priority
the hostel a's room is nt available 🚪,Hostel,Hostel A,High
the it network is nt available in the hostel 🌐,IT / Network,Hostel B,High
the library has limited seating 🛋️,Library,Library,Low
the mess food is nt nutritious 🥗,Mess / Canteen,Mess / Canteen,Medium
the laboratory is nt open on sundays 📆,General,Laboratory,Low
the campus has no proper security 🚨,General,Campus (General),High
the hostel b's mess food is nt good 🤢,Mess / Canteen,Hostel B,Medium
the transport facility is nt comfortable 🚌,Transport,Main Building,Medium
the sports ground has no proper drainage 🌧️,Civil / Infrastructure,Sports Ground,Medium
the auditorium has no proper seating 🛋️,Civil / Infrastructure,Auditorium,Medium
the hostel c's room is nt clean 🚮,Hostel,Hostel C,Medium
the it network is slow in the whole campus 🌐,IT / Network,Campus (General),High
the library is nt well equipped 📖,Library,Library,Medium
the mess food is nt available after 10 pm 🍴,Mess / Canteen,Mess / Canteen,Low
the laboratory equipment is old 🧬,Civil / Infrastructure,Laboratory,Medium
the hostel d's hostel fee is too high 🤑,General,Hostel D,Low
the campus has no parking facility 🚗,General,Campus (General),Medium
the transport facility is nt reliable 🚌,Transport,Main Building,High
the sports ground has no proper equipment 🏋️‍♀️,Civil / Infrastructure,Sports Ground,Medium
the auditorium has no proper sound system 🎧,Civil / Infrastructure,Auditorium,Medium
the hostel a's mess food is nt hygenic 🤢,Mess / Canteen,Hostel A,Medium
the it network is nt secure 🌐,IT / Network,Campus (General),High
the library has limited books 📖,Library,Library,Low
the mess food is expensive 🤑,Mess / Canteen,Mess / Canteen,Medium
the laboratory is nt well maintained 🧬,Civil / Infrastructure,Laboratory,Medium
the campus has no medical facility 🏥,General,Campus (General),Medium
the transport facility is nt available after 6 pm 🚌,Transport,Main Building,High
the sports ground has no proper lighting 🏋️‍♀️,Civil / Infrastructure,Sports Ground,Medium
the auditorium has no proper ventilation 🌡️,Civil / Infrastructure,Auditorium,Medium
the hostel b's room is nt spacious 🏠,Hostel,Hostel B,Low
the it network is slow in the lab 🌐,IT / Network,Laboratory,High
the library is nt open on sundays 📆,General,Library,Low
the mess food is nt nutritious 🥗,Mess / Canteen,Mess / Canteen,Medium
the laboratory equipment is nt calibrated 🧬,Civil / Infrastructure,Laboratory,Medium
the campus has no proper signage 📣,General,Campus (General),Medium
the transport facility is nt available on sundays 🚌,Transport,Main Building,Low
the sports ground has no proper maintenance 🏋️‍♀️,Civil / Infrastructure,Sports Ground,Medium
the auditorium has no proper seating 🛋️,Civil / Infrastructure,Auditorium,Medium
the hostel c's mess food is nt available 🍴,Mess / Canteen,Hostel C,Low
the it network is nt available in the hostel 🌐,IT / Network,Hostel A,High
the library has limited seating 🛋️,Library,Library,Low
the mess food is nt good 🤢,Mess / Canteen,Mess / Canteen,Medium
the laboratory is nt well equipped 🧬,Civil / Infrastructure,Laboratory,Medium
the campus has no proper security 🚨,General,Campus (General),High
the hostel d's room is nt clean 🚮,Hostel,Hostel D,Medium
the transport facility is nt comfortable 🚌,Transport,Main Building,Medium
the sports ground has no proper equipment 🏋️‍♀️,Civil / Infrastructure,Sports Ground,Medium
the auditorium has no proper sound system 🎧,Civil / Infrastructure,Auditorium,Medium
the hostel a's room is nt available 🚪,Hostel,Hostel A,High
the it network is slow in the whole campus 🌐,IT / Network,Campus (General),High
the library is nt well maintained 📖,Library,Library,Medium
the mess food is expensive 🤑,Mess / Canteen,Mess / Canteen,Medium
the laboratory equipment is old 🧬,Civil / Infrastructure,Laboratory,Medium
the hostel b's hostel fee is too high 🤑,General,Hostel B,Low
the campus has no parking facility 🚗,General,Campus (General),Medium
the transport facility is nt reliable 🚌,Transport,Main Building,High
the sports ground has no proper drainage 🌧️,Civil / Infrastructure,Sports Ground,Medium
the auditorium has no proper ventilation 🌡️,Civil / Infrastructure,Auditorium,Medium
the hostel c's room is nt spacious 🏠,Hostel,Hostel C,Low
the it network is nt secure 🌐,IT / Network,Campus (General),High
the library has limited books 📖,Library,Library,Low
the mess food is nt hygenic 🤢,Mess / Canteen,Mess / Canteen,Medium
the laboratory is nt well maintained 🧬,Civil / Infrastructure,Laboratory,Medium
the campus has no medical facility 🏥,General,Campus (General),Medium
the transport facility is nt available after 6 pm 🚌,Transport,Main Building,High
the sports ground has no proper lighting 🏋️‍♀️,Civil / Infrastructure,Sports Ground,Medium
the auditorium has no proper seating 🛋️,Civil / Infrastructure,Auditorium,Medium
the hostel d's mess food is nt available 🍴,Mess / Canteen,Hostel D,Low
the it network is slow in the lab 🌐,IT / Network,Laboratory,High
the library is nt open after 10 pm 🕰️,Library,Library,Low
the mess food is nt nutritious 🥗,Mess / Canteen,Mess / Canteen,Medium
the laboratory equipment is nt calibrated 🧬,Civil / Infrastructure,Laboratory,Medium
the campus has no proper signage 📣,General,Campus (General),Medium
the transport facility is nt available on sundays 🚌,Transport,Main Building,Low
the sports ground has no proper maintenance 🏋️‍♀️,Civil / Infrastructure,Sports Ground,Medium
the auditorium has no proper sound system 🎧,Civil / Infrastructure,Auditorium,Medium
the hostel a's mess food is nt good 🤢,Mess / Canteen,Hostel A,Medium
the it network is nt available in the hostel 🌐,IT / Network,Hostel B,High
the library has limited seating 🛋️,Library,Library,Low
the mess food is expensive 🤑,Mess / Canteen,Mess / Canteen,Medium
the laboratory is nt well equipped 🧬,Civil / Infrastructure,Laboratory,Medium
the campus has no proper security 🚨,General,Campus (General),High
the hostel b's room is nt clean 🚮,Hostel,Hostel B,Medium
the transport facility is nt comfortable 🚌,Transport,Main Building,Medium
the sports ground has no proper equipment 🏋️‍♀️,Civil / Infrastructure,Sports Ground,Medium
the auditorium has no proper seating 🛋️,Civil / Infrastructure,Auditorium,Medium
the hostel c's room is nt available 🚪,Hostel,Hostel C,High
the it network is slow in the whole campus 🌐,IT / Network,Campus (General),High
the library is nt well maintained 📖,Library,Library,Medium
the mess food is nt available after 10 pm 🍴,Mess / Canteen,Mess / Canteen,Low
the laboratory equipment is old 🧬,Civil / Infrastructure,Laboratory,Medium
the hostel d's hostel fee is too high 🤑,General,Hostel D,Low
the campus has no parking facility 🚗,General,Campus (General),Medium
the transport facility is nt reliable 🚌,Transport,Main Building,High
the sports ground has no proper drainage 🌧️,Civil / Infrastructure,Sports Ground,Medium
the auditorium has no proper ventilation 🌡️,Civil / Infrastructure,Auditorium,Medium
the hostel a's room is nt spacious 🏠,Hostel,Hostel A,Low
the it network is nt secure 🌐,IT / Network,Campus (General),High
the library has limited books 📖,Library,Library,Low
the mess food is nt hygenic 🤢,Mess / Canteen,Mess / Canteen,Medium
the laboratory is nt well maintained 🧬,Civil / Infrastructure,Laboratory,Medium
the campus has no medical facility 🏥,General,Campus (General),Medium
the transport facility is nt available after 6 pm 🚌,Transport,Main Building,High
the sports ground has no proper lighting 🏋️‍♀️,Civil / Infrastructure,Sports Ground,Medium
the auditorium has no proper sound system 🎧,Civil / Infrastructure,Auditorium,Medium
the hostel b's mess food is nt available 🍴,Mess / Canteen,Hostel B,Low
the it network is slow in the lab 🌐,IT / Network,Laboratory,High
the library is nt open on sundays 📆,General,Library,Low
the mess food is nt nutritious 🥗,Mess / Canteen,Mess / Canteen,Medium
the laboratory equipment is nt calibrated 🧬,Civil / Infrastructure,Laboratory,
wifi nt working in hostel a,IT / Network,Hostel B,High
the lights in my room r nt working,Electricity,Hostel C,Medium
cant access library databases 🤔,Library,Main Building,Low
prof said we need to submit assignments online but wifi is down 📚,IT / Network,Library,High
hostel food is so bad 🤢,Mess / Canteen,Hostel A,Medium
i lost my phone in the sports ground 🏀,General,Campus (General),Low
the lab equipment is so outdated 💔,Civil / Infrastructure,Laboratory,Medium
hostel a is too noisy at nite 🎉,Hostel,Hostel B,Low
cant print my notes in library 🖨️,Library,Main Building,Medium
water supply in hostel c is very low 💧,Water Supply,Hostel D,High
my bike was stolen from the parking lot 🚴,General,Main Building,Medium
no hot water in hostel b 🚿,Water Supply,Hostel A,Medium
wifi is slow in the lab 🐌,IT / Network,Laboratory,Low
the hostel room is too small 🏠,Hostel,Hostel C,Low
the library is too cold ❄️,Library,Library,Medium
the auditorium sound system is nt working 🎤,Civil / Infrastructure,Auditorium,High
the mess food is too spicy 🌶,Mess / Canteen,Mess / Canteen,Medium
i need help with my assignment 📝,General,Library,Low
the hostel a lift is nt working 🚨,Civil / Infrastructure,Hostel B,Medium
no wifi in the sports ground 🏈,IT / Network,Sports Ground,Medium
the laboratory equipment is nt working 🧬,Civil / Infrastructure,Laboratory,High
the hostel c water supply is very low 💧,Water Supply,Hostel C,Medium
the library books r nt available 📚,Library,Main Building,Low
the hostel b is too dirty 🚮,Hostel,Hostel A,Medium
the wifi in the auditorium is slow 🎭,IT / Network,Auditorium,Low
the sports ground is too dusty 🏜️,General,Sports Ground,Medium
the hostel a is too far from the main building 🏃,Hostel,Hostel A,Low
the library is too quiet 🗣️,Library,Library,Low
the mess food is too oily 🍟,Mess / Canteen,Mess / Canteen,Medium
the laboratory is too hot ☀️,Civil / Infrastructure,Laboratory,Medium
the hostel c is too noisy at nite 🎉,Hostel,Hostel D,Low
the wifi in the library is slow 🐌,IT / Network,Library,Medium
the auditorium seats r nt comfortable 🛋️,Civil / Infrastructure,Auditorium,Medium
the hostel b room is too small 🏠,Hostel,Hostel B,Low
the sports ground is too crowded 🏈,General,Sports Ground,Medium
the library books r nt up to date 📆,Library,Main Building,Low
the hostel a food is too bad 🤢,Mess / Canteen,Hostel A,Medium
the laboratory equipment is too old 🕰️,Civil / Infrastructure,Laboratory,Medium
the wifi in the hostel c is slow 🐌,IT / Network,Hostel C,Medium
the hostel d is too dirty 🚮,Hostel,Hostel D,Medium
the mess food is too salty 🧂,Mess / Canteen,Mess / Canteen,Medium
the auditorium sound system is too loud 🎵,Civil / Infrastructure,Auditorium,Medium
the sports ground is too dirty 🚮,General,Sports Ground,Medium
the hostel b is too far from the library 🏃,Hostel,Hostel B,Low
the library is too cold in the morning ❄️,Library,Library,Medium
the hostel c is too hot in the summer ☀️,Hostel,Hostel C,Low
the wifi in the auditorium is slow 🎭,IT / Network,Auditorium,Low
the laboratory is too crowded 🧬,Civil / Infrastructure,Laboratory,Medium
the hostel a is too noisy in the morning 🎉,Hostel,Hostel A,Low
the mess food is too expensive 🤑,Mess / Canteen,Mess / Canteen,Medium
the library books r nt available in the morning 📚,Library,Main Building,Low
the hostel b room is too hot in the summer ☀️,Hostel,Hostel B,Medium
